z,vm,na,k,cl,x
-0.38362362362362346,-0.060171390604202006,0.008801776793081856,0.07720611333981922,0.00821954342162721,0.20277256644547167
-0.3786286286286282,-0.05995170727916362,0.008729721486283839,0.07657406934300307,0.008287387707829873,0.20340882146288322
-0.37363363363363344,-0.05972896003028643,0.008657263476062684,0.0759384929723424,0.008356749998223478,0.20404749355337143
-0.36863863863863866,-0.05950308565865006,0.008584402348810026,0.07529938059980902,0.00842767889930459,0.20468853815207638
-0.36364364364364343,-0.05927401940382755,0.008511137851270651,0.07465673000393663,0.008500224976077221,0.20533190716871547
-0.35864864864864865,-0.05904169491055589,0.008437469901582237,0.07401054046665749,0.008574440843295951,0.2059775487884643
-0.3536536536536534,-0.05880604419595147,0.008363398600987318,0.0733608128760358,0.008650381261233481,0.2066254072617434
-0.34865865865865864,-0.05856699761746974,0.008288924246257207,0.07270754983524587,0.008728103236179832,0.20727542268231708
-0.3436636636636634,-0.05832448384183469,0.008214047342869426,0.07205075577816009,0.008807666125885034,0.20792753075308548
-0.3386686686686686,-0.05807842981519365,0.008138768618982705,0.07139043709193262,0.008889131750160244,0.2085816625389244
-0.3336736736736734,-0.05782876073478357,0.008063089040255102,0.07072660224697885,0.008972564506855315,0.20923774420591074
-0.3286786786786786,-0.05757540002243231,0.007987009825553453,0.07005926193477319,0.009058031493431125,0.2098956967462422
-0.3236836836836834,-0.057318269300257046,0.007910532463604089,0.06938842921390324,0.009145602634344725,0.21055543568814794
-0.3186886886886886,-0.05705728836896579,0.007833658730636989,0.06871411966483836,0.009235350814462171,0.21121687079006246
-0.3136936936936934,-0.056792375189215996,0.007756390709077358,0.0680363515538854,0.009327352018708818,0.2118799057183284
-0.3086986986986986,-0.05652344586653766,0.007678730807340656,0.06735514600682409,0.009421685478158144,0.21254443770767711
-0.30370370370370336,-0.056250414640385854,0.007600681780788544,0.06667052719272495,0.009518433822748636,0.21321035720373785
-0.2987087087087086,-0.05597319387795261,0.007522246753905018,0.0659825225184709,0.009617683240801663,0.21387754748682242
-0.29371371371371335,-0.055691694073437006,0.007443429243752838,0.06529116283450861,0.009719523645492627,0.2145458842762459
-0.28871871871871857,-0.05540582385354999,0.007364233184771467,0.06459648265236759,0.009824048848400518,0.21521523531446043
-0.28372372372372334,-0.055115489990113405,0.007284662954978013,0.06389852037448553,0.009931356740227574,0.2158854599303089
-0.27872872872872856,-0.054820597420704095,0.007204723403632483,0.06319731853687835,0.010041549478739357,0.2165564085807498
-0.27373373373373333,-0.0545210492783925,0.007124419880427864,0.06249292406518535,0.010154733683925178,0.21722792237046157
-0.26873873873873855,-0.05421674693173197,0.007043758266263763,0.061785388544604865,0.010271020640318195,0.21789983254881318
-0.26374374374374376,-0.05390759003627046,0.0069627450056598,0.061074768504213256,0.010390526506341782,0.21857195998378517
-0.25874874874874854,-0.053593476598979964,0.006881387140861081,0.06036112571612611,0.010513372530462535,0.21924411461255028
